ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44851 4 45103 11 45358 13 45613 14 45869 14 46124 15 46380 15 46636 14 46893 12 47150 9 47407 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50023 7 50277 12 50532 13 50787 15 51042 17 51297 18 51553 18 51809 18 52064 19 52320 19 52576 18 52832 17 53088 17 53345 15 53601 14 53859 10 54116 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 10 11400 13 11655 14 11910 15 12165 16 12421 15 12677 15 12933 14 13188 15 13445 13 13701 12 13957 11 14214 9 14471 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30876 5 31131 7 31375 20 31629 22 31883 25 32138 26 32393 27 32648 27 32903 27 33159 25 33415 21 33670 21 33926 21 34182 20 34438 19 34695 17 34951 16 35208 14 35465 11 35722 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50840 7 51095 9 51349 12 51605 12 51859 14 52115 14 52370 15 52625 15 52881 14 53137 14 53393 13 53648 13 53904 12 54161 10 54417 8 54674 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 7 38818 9 39072 11 39327 12 39582 13 39837 14 40093 14 40349 14 40605 14 40861 13 41117 12 41373 12 41630 11 41887 9 42144 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49307 7 49826 10 50345 20 50864 25 51383 28 51902 30 52420 32 52939 32 53459 32 53978 32 54496 34 55016 34 55535 34 56054 34 56573 34 57092 35 57611 35 58130 35 58649 35 59168 35 59687 36 60206 36 60725 36 61245 35 61764 35 62283 35 62802 35 63321 35 63840 35 64360 34 64879 34 65398 34 65918 34 66437 34 66956 34 67475 36 67994 37 68514 36 69033 8 69043 27 69552 6 69563 27 70072 1 70082 28 70602 28 71122 28 71642 29 72162 29 72682 31 73203 33 73722 37 74242 40 74763 39 75286 36 75806 36 76325 37 76845 37 77365 37 77885 36 78404 36 78925 34 79445 33 79965 33 80485 32 81005 30 81147 10 81525 29 81663 15 82044 29 82181 17 82564 27 82699 20 83083 27 83217 22 83603 26 83735 23 84123 25 84254 24 84643 24 84772 25 85162 23 85291 25 85682 22 85810 26 86201 22 86328 27 86720 22 86847 28 87240 21 87365 30 87759 21 87884 32 88278 21 88402 48 88798 20 88919 52 89317 19 89432 60 89836 19 89948 64 90355 19 90464 69 90874 20 90981 72 91394 19 91499 73 91913 20 92016 76 92433 20 92534 77 92953 20 93026 8 93052 78 93472 21 93543 15 93571 79 93991 21 94061 18 94090 79 94510 22 94578 22 94609 80 95030 22 95096 24 95127 43 95172 36 95549 24 95615 25 95646 42 95692 36 96069 24 96134 27 96165 42 96213 34 96589 24 96652 30 96683 42 96732 34 97109 24 97171 30 97202 41 97252 33 97629 24 97690 31 97722 39 97771 33 98149 24 98209 30 98241 39 98291 31 98668 24 98728 30 98761 38 98812 29 99188 23 99247 30 99281 36 99332 28 99707 24 99766 32 99801 35 99851 28 100227 24 100285 31 100321 33 100371 27 100747 24 100804 31 100841 31 100891 26 101268 22 101323 31 101361 28 101411 24 101789 21 101842 32 101882 25 101931 23 102309 20 102362 31 102402 22 102451 21 102828 22 102881 30 102923 18 102971 20 103348 21 103401 29 103445 12 103491 19 103868 21 103921 28 104011 17 104388 21 104441 27 104532 14 104907 22 104961 25 105055 7 105427 22 105480 25 105948 21 106001 23 106468 21 106521 21 106988 21 107041 20 107507 21 107562 17 108027 21 108083 15 108546 22 108606 10 109065 23 109129 6 109585 23 109649 5 110106 23 110169 4 110627 22 110687 9 111147 22 111206 14 111667 22 111722 21 112187 22 112240 24 112707 23 112758 27 113228 23 113277 28 113749 22 113795 30 114269 21 114314 31 114789 21 114832 34 115309 21 115351 34 115829 20 115870 35 116348 20 116389 35 116868 20 116907 36 117388 19 117426 37 117908 19 117945 37 118428 18 118464 37 118948 18 118984 36 119468 17 119503 36 119988 16 120023 34 120507 17 120543 32 121027 17 121062 31 121546 18 121582 29 122066 18 122101 27 122586 18 122621 24 123105 19 123142 16 123625 19 123664 6 124145 19 124182 5 124664 20 124699 6 125183 22 125215 8 125703 23 125728 15 126222 41 126742 40 127261 41 127781 41 128303 38 128823 38 129343 37 129863 36 130382 34 130906 27
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,123006 1 123524 5 124043 6 124562 6 125081 7 125600 7 126119 7 126638 7 127157 7 127676 7 128195 6 128715 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23896 13 24412 20 24930 22 25448 24 25965 27 26483 28 27001 29 27519 30 28037 31 28556 31 29074 32 29593 32 30111 33 30630 33 31149 33 31667 33 32186 33 32705 32 33224 31 33743 30 34262 30 34781 29 35301 27 35820 26 36339 25 36859 23 37379 21 37899 18 38419 15 38941 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,87725 6 88243 8 88762 9 89281 10 89801 9 90321 9 90840 10 91359 11 91878 11 92399 9 92918 9 93437 10 93957 10 94476 9 94996 9 95515 11 96034 12 96554 11 97073 11 97592 12 98112 11 98631 11 99150 12 99670 11 100189 12 100708 12 101227 13 101746 14 102265 16 102785 17 103304 18 103823 20 104343 20 104863 20 105383 19 105903 19 106424 18 106944 18 107465 17 107985 17 108506 16 109027 14 109547 16 110068 14 110589 14 111109 15 111629 15 112149 16 112670 15 113189 16 113709 15 114229 14 114749 14 115268 15 115788 15 116307 15 116827 14 117347 13 117865 14 118384 14 118905 13 119425 12 119944 13 120464 12 120985 11 121505 10 122024 10 122545 8 123066 6 123587 4 124106 4 124627 2 125146 2
