ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 11 45614 13 45869 14 46124 15 46380 15 46636 14 46893 12 47150 9 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50280 6 50534 10 50789 12 51043 14 51299 14 51554 15 51809 16 52065 16 52321 16 52577 16 52833 15 53089 14 53346 12 53603 10 53860 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10894 3 11147 7 11402 9 11656 11 11911 12 12167 12 12422 13 12678 13 12933 14 13189 13 13445 12 13701 11 13957 10 14214 8 14472 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31633 4 31886 10 32139 14 32394 15 32649 17 32904 18 33160 18 33416 18 33672 17 33927 18 34183 17 34440 14 34696 13 34952 12 35209 9 35467 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51097 6 51351 8 51606 10 51860 12 52116 12 52371 12 52626 13 52882 12 53137 13 53393 12 53648 12 53905 10 54161 9 54417 7 54675 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31134 1 31389 3 31645 4 31901 4 32157 4 32413 4 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 4 38819 6 39075 7 39328 10 39582 13 39838 13 40093 13 40349 13 40605 13 40862 11 41118 11 41375 9 41631 9 41887 7 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47230 1 47749 1 48268 2 48787 3 49306 3 49825 4 50344 5 50863 6 51382 6 51901 6 52420 7 52939 8 53458 9 53977 10 54496 11 55015 12 55534 13 56053 16 56572 17 57091 20 57610 21 58129 22 58153 4 58648 28 59167 29 59686 29 60205 28 60724 27 61243 29 61762 29 62281 29 62800 30 63319 30 63838 30 64357 30 64876 30 65395 30 65914 30 66433 31 66952 31 67471 32 67990 33 68509 34 69028 35 69547 36 70066 37 70585 38 71104 39 71623 40 72142 41 72661 42 73180 43 73699 43 74218 44 74737 45 75256 46 75775 47 76294 49 76344 1 76346 1 76813 54 76868 1 76872 1 77332 61 77851 61 78370 61 78889 63 79408 63 79927 64 80447 63 80967 63 81486 63 82006 62 82525 62 83045 61 83565 60 84084 61 84604 60 85124 58 85643 58 86163 57 86683 56 87202 56 87722 55 88241 55 88761 53 89281 52 89800 52 90319 52 90839 51 91359 50 91878 50 92398 50 92918 50 93437 50 93957 50 94476 51 94996 52 95515 53 96035 54 96554 56 97074 55 97593 56 98113 56 98632 57 99151 57 99670 58 100190 57 100709 58 101229 59 101748 59 102268 59 102787 60 103307 59 103826 60 104347 59 104867 58 105388 57 105908 57 106428 57 106948 56 107469 55 107990 53 108510 53 109031 52 109551 52 110071 52 110591 53 111111 53 111631 54 112151 54 112671 54 113191 54 113710 55 114230 55 114750 55 115270 55 115790 55 116309 55 116829 55 117349 55 117868 55 118388 54 118907 55 119427 55 119946 55 120466 55 120986 54 121506 54 122025 55 122545 55 123065 55 123584 55 124103 56 124623 56 125143 56 125664 56 126184 56 126704 56 127224 56 127286 6 127744 69 128263 71 128783 71 129303 70 129822 72 130341 72 130861 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25978 2 26492 9 27009 12 27526 14 28044 16 28561 19 29080 20 29599 19 30118 19 30635 22 31153 21 31672 22 32191 22 32709 22 33229 21 33748 19 34267 17 34787 16 35307 13 35826 12 36348 7 36867 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,9393 3 9910 6 10429 7 10947 9 11465 10 11983 11 11995 1 12501 16 13020 17 13539 17 14058 17 14577 17 15096 19 15615 18 16134 18 16653 17 17172 16 17692 14 18211 13 18730 13 19249 12 19768 11 20289 8 20808 8 21328 3 21332 2
