ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44850 5 45103 10 45358 13 45613 14 45868 15 46124 15 46380 15 46636 14 46892 13 47149 11 47406 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50280 7 50534 10 50789 12 51043 14 51298 16 51554 16 51809 17 52065 16 52321 16 52577 16 52833 15 53089 15 53346 13 53603 11 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 4 11147 8 11401 10 11656 12 11911 13 12166 14 12422 14 12677 14 12933 14 13189 13 13445 13 13701 12 13957 11 14214 8 14471 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31632 6 31885 11 32139 14 32394 16 32649 17 32904 18 33160 18 33416 18 33671 19 33927 18 34183 17 34439 16 34696 14 34952 12 35209 10 35467 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50842 4 51096 7 51350 10 51605 11 51860 12 52115 13 52371 13 52626 13 52882 13 53137 13 53393 12 53648 12 53904 11 54161 9 54417 8 54674 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31389 3 31645 4 31900 5 32156 5 32412 5 32669 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39073 9 39327 12 39582 13 39837 14 40093 14 40349 14 40605 13 40861 13 41118 11 41374 11 41630 10 41887 8 42144 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47749 1 48268 2 48787 2 49306 3 49825 4 50344 4 50863 5 51382 6 51901 6 52420 7 52939 8 53458 9 53977 10 54496 11 55015 12 55534 14 56053 16 56572 18 57091 20 57610 21 58129 23 58648 28 59167 28 59686 28 60205 28 60724 28 61243 28 61762 29 62281 29 62800 30 63319 30 63838 30 64357 30 64876 30 65395 30 65914 30 66433 31 66952 32 67471 32 67990 33 68509 34 69028 35 69547 36 70066 37 70585 38 71104 39 71623 40 72142 41 72661 42 73180 43 73699 44 74218 44 74737 45 75256 46 75775 47 76294 49 76813 57 77332 60 77851 61 78370 62 78889 63 79408 63 79927 64 80446 64 80966 63 81486 63 82005 63 82525 62 83045 61 83565 60 84084 60 84604 59 85123 59 85643 58 86163 57 86683 56 87202 56 87722 55 88241 54 88761 53 89280 53 89800 52 90319 52 90839 51 91359 50 91878 51 92398 50 92918 50 93437 51 93957 51 94476 52 94996 52 95515 53 96035 54 96554 55 97073 56 97593 56 98112 57 98632 57 99151 57 99670 58 100190 57 100709 58 101228 59 101748 59 102267 60 102787 60 103307 60 103827 59 104347 59 104867 58 105387 58 105908 57 106428 57 106948 56 107469 55 107990 54 108510 54 109031 52 109551 52 110071 52 110591 53 111111 54 111631 54 112151 54 112671 54 113191 54 113710 56 114230 55 114750 55 115270 55 115790 55 116309 55 116829 55 117349 55 117868 55 118388 55 118907 55 119427 55 119947 54 120466 55 120986 55 121506 54 122025 55 122545 55 123065 55 123584 56 124104 56 124623 56 125143 57 125664 56 126184 56 126704 56 127224 57 127287 5 127744 69 128263 71 128783 70 129303 70 129822 71 130341 71 130861 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,26493 8 27010 11 27527 14 28044 16 28562 18 29080 19 29599 19 30117 20 30635 21 31153 22 31672 22 32191 22 32710 21 33229 20 33748 19 34267 18 34787 15 35307 13 35827 11 36347 8 36867 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,9393 3 9910 6 10429 7 10947 9 11465 10 11983 12 12502 15 13020 16 13539 17 14058 17 14577 17 15096 18 15615 17 16135 16 16654 16 17173 15 17692 14 18211 13 18730 13 19249 12 19769 10 20288 9 20808 7 21328 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,30164 7 30680 13 31197 16 31715 18 32233 19 32752 19 33270 20 33789 19 34307 19 34826 18 35346 16 35865 15 36384 14 36904 12 37423 11 37942 10 38461 9 38981 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,66522 6 67041 8 67559 11 68078 12 68597 12 69115 13 69633 14 70151 15 70670 15 71189 15 71709 13 72228 13 72747 13 73267 12 73786 12 74306 11 74825 10 75345 7 75864 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52036 6 52553 9 53070 12 53588 14 54106 15 54624 16 55142 17 55661 18 56179 19 56698 18 57216 19 57735 19 58254 18 58773 17 59292 16 59811 16 60331 14 60850 13 61369 12 61890 10 62410 8 62930 6 63449 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,131 14 650 14 1169 10 1689 9 2209 8 2729 7 3248 7 3259 1 3768 7 3777 2 4287 11 4807 9 5327 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114327 4 114844 7 115361 11 115879 14 116397 17 116915 20 117435 19 117954 11 117969 4 118473 7 118490 1 118993 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,92027 4 92543 9 93060 12 93076 1 93578 18 94097 18 94616 17 95135 16 95654 17 95672 2 96173 20 96692 19 97212 18 97731 18 98251 16 98771 15 99292 12 99813 9 100335 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,86856 2 87375 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,88415 1 88933 2 89452 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,92593 7 93111 10 93628 13 94145 15 94664 16 95183 16 95702 17 96221 17 96740 18 97259 19 97778 19 98298 19 98817 19 99337 18 99857 16 100377 14 100897 13 101416 12 101937 9 102457 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,67691 2 68210 4 68728 8 69247 8 69765 10 70284 10 70803 10 71321 11 71839 12 72357 13 72876 13 73395 13 73914 13 74433 12 74952 12 75471 12 75989 13 76508 13 77027 13 77546 12 78065 12 78585 11 79104 11 79624 10 80144 8 80664 6 81185 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117028 4 117545 8 118062 10 118580 12 119098 13 119616 14 120134 15 120652 16 121170 17 121688 19 122206 20 122724 21 123243 21 123761 22 124280 22 124799 25 125318 30 125837 33 126356 36 126876 36 127398 35 127919 5 127927 26 128447 25 128966 25 129485 25 130004 25 130524 24 131043 24
